time,Locus_tag,name,COG_category,FC,sig,loc,res
3h,DLM_0196,NA,,-0.354742464,,15,
3h,DLM_0197,NA,,0.914466765,,15,
3h,DLM_0199,NA,J,0.263086397,,12,
3h,DLM_0200,mMT1,P,-0.118562529,,7,
3h,DLM_0201,glpM,R,-0.772865226,,13,
3h,DLM_0202,selA,E,0.213212159,,1,
3h,DLM_0203,NA,,-0.611557856,,15,
3h,DLM_0204,COG2334,R,-0.233345913,,13,
3h,DLM_0205,cheY,T,-0.272550224,,3,
3h,DLM_0206,cheB,NT,0.053254038,,8,
3h,DLM_0207,cheD,NT,-0.14559129,,8,
3h,DLM_0208,cheW,NT,0.407913739,,8,
3h,DLM_0209,cheW,NT,-0.243868664,,8,
3h,DLM_0210,tar,NT,0.414940332,,8,
3h,DLM_0211,cheA,NT,0.132790735,,8,
3h,DLM_0212,spoIIAA,T,0.360684065,,3,
3h,DLM_0213,cheY,T,0.698690978,,3,
3h,DLM_0214,NA,,-0.377529643,,15,
3h,DLM_0215,fdhE,O,-0.301882104,,10,
3h,DLM_0216,fdnI,C,0.140775481,,4,
3h,DLM_0217,hybA,C,0.107549225,,4,
3h,DLM_0218,bisC,C,0.052041058,,4,
3h,DLM_0219,fdhD,C,-0.010734057,,4,
3h,DLM_0220,NA,,0.81402972,,15,
3h,DLM_0225,NA,,-0.561129582,,15,
3h,DLM_0226,serA,HE,0.27982285,,12,
3h,DLM_0227,nlpD,M,-0.040586748,,5,
3h,DLM_0228,COG3369,S,-1.237162341,,14,
3h,DLM_0229,uup,R,-0.808941995,,13,
3h,DLM_0230,COG2839,S,-0.014895214,,14,
3h,DLM_0231,ppk,P,-0.911654541,,7,
3h,DLM_0232,COG2924,CO,-0.371463433,,4,
3h,DLM_0233,argA,E,-1.023412268,,1,
3h,DLM_0235,COG4942,D,0.748211395,,12,
3h,DLM_0236,gpmI,G,-3.71205835,Depleted,6,Both
3h,DLM_0237,arsR,K,-1.673468457,,2,
3h,DLM_0238,NA,,0.211292763,,15,
3h,DLM_0239,xseA,L,0.242826171,,11,
3h,DLM_0245,COG1272,R,0.068678372,,13,
3h,DLM_0246,COG3437,T,0.262193009,,3,
3h,DLM_0247,baeS,T,0.280791837,,3,
3h,DLM_0248,rhaT,GER,0.098632411,,6,
3h,DLM_0249,COG0062,S,0.120876019,,14,
3h,DLM_0250,ubiX,H,0.596954856,,12,
3h,DLM_0251,COG1660,R,0.222403489,,13,
3h,DLM_0252,hprK,T,-3.489593589,,3,
3h,DLM_0253,ptsN,GT,-0.076517606,,6,
3h,DLM_0254,COG1544,J,-0.650748381,,12,
3h,DLM_0255,rpoN,K,-3.958112589,Depleted,2,Both
3h,DLM_0261,COG3273,S,0.230279059,,14,
3h,DLM_0262,asmA,M,-0.108046143,,5,
3h,DLM_0263,sUL1,P,0.223694917,,7,
3h,DLM_0264,COG2957,E,0.284544209,,1,
3h,DLM_0265,lysR,K,1.006035026,,2,
3h,DLM_0266,gatA,J,0.35252369,,12,
3h,DLM_0267,NA,,-0.149296263,,15,
3h,DLM_0268,COG1733,K,-0.362156631,,2,
3h,DLM_0269,nemA,C,0.192093838,,4,
3h,DLM_0270,COG1942,R,0.533232521,,13,
3h,DLM_0271,tas,C,-0.100633309,,4,
3h,DLM_0273,NA,,-0.204659702,,15,
3h,DLM_0274,hflC,O,-0.004520087,,10,
3h,DLM_0275,hflC,O,-0.26074685,,10,
3h,DLM_0276,mntH,P,0.037742094,,7,
3h,DLM_0277,terC,P,0.044572828,,7,
3h,DLM_0278,NA,,0.164299518,,15,
3h,DLM_0279,serB,E,-0.043429355,,1,
3h,DLM_0280,potA,E,-0.312305199,,1,
3h,DLM_0281,potC,E,-0.028739895,,1,
3h,DLM_0282,COG4132,R,-0.157930916,,13,
3h,DLM_0283,afuA,P,0.032708577,,7,
3h,DLM_0284,phnF,K,-0.03379444,,2,
3h,DLM_0285,NA,,-0.153364749,,15,
3h,DLM_0286,NA,,-0.059308316,,15,
3h,DLM_0287,ansB,EJ,-0.133846634,,1,
3h,DLM_0289,nadR,H,0.668071229,,12,
3h,DLM_0290,COG2501,S,0.305571924,,14,
3h,DLM_0291,NA,,0.938656374,,15,
3h,DLM_0292,COG0613,R,-0.879416566,,13,
3h,DLM_0293,sUA5,J,-0.950727503,,12,
3h,DLM_0294,spoIVFB,R,-0.088330008,,13,
3h,DLM_0295,trpS,J,0.137024949,,12,
3h,DLM_0296,COG4874,S,0.060864713,,14,
3h,DLM_0297,lysR,K,0.125414363,,2,
3h,DLM_0298,scpA,S,0.053078133,,14,
3h,DLM_0299,scpB,K,0.948055072,,2,
3h,DLM_0301,COG1051,F,-0.158224887,,12,
3h,DLM_0302,COG0782,K,0.294041071,,2,
3h,DLM_0303,marR,K,0.279055073,,2,
3h,DLM_0304,aRO8,KE,0.175968016,,2,
3h,DLM_0305,lysR,K,0.188853091,,2,
3h,DLM_0306,minE,D,2.112541562,,12,
3h,DLM_0309,NA,,0.077964395,,15,
3h,DLM_0310,NA,,0.243131349,,15,
3h,DLM_0311,gnd,G,-0.26613448,,6,
3h,DLM_0312,lysR,K,0.007064444,,2,
3h,DLM_0313,NA,,-0.016356171,,15,
3h,DLM_0314,ppa,C,0.660236805,,4,
3h,DLM_0315,cAT5,H,-0.595023265,,12,
3h,DLM_0320,uvrC,L,-0.211626333,,11,
3h,DLM_0321,motA,N,-3.422198959,,8,
3h,DLM_0322,fliA,K,-3.000768186,,2,
3h,DLM_0323,flhG,D,-2.39273205,,12,
3h,DLM_0324,flhF,N,-3.29580759,Depleted,8,Both
3h,DLM_0325,flhA,NU,-3.713779801,Depleted,8,Both
3h,DLM_0326,flhB,NU,-3.431041407,Depleted,8,Both
3h,DLM_0329,gntR,K,0.197899201,,2,
3h,DLM_0330,ubiG,H,0.114227939,,12,
3h,DLM_0332,rtn,T,0.696193798,,3,
3h,DLM_0333,NA,V,0.104840707,,12,
3h,DLM_0336,recD,L,-0.006970124,,11,
3h,DLM_0337,COG0863,L,0.160412317,,11,
3h,DLM_0338,NA,,0.019875368,,15,
3h,DLM_0339,NA,H,0.130256953,,12,
3h,DLM_0340,NA,,0.337242882,,15,
3h,DLM_0341,NA,,0.04625983,,15,
3h,DLM_0342,COG2842,R,0.440135755,,13,
3h,DLM_0343,NA,,0.139411518,,15,
3h,DLM_0346,mdh,C,-3.562657051,,4,
3h,DLM_0347,phnF,K,0.371481245,,2,
3h,DLM_0348,sdhC,C,-1.601318672,,4,
3h,DLM_0349,sdhD,C,-0.988341795,,4,
3h,DLM_0350,sdhA,C,-1.186281172,,4,
3h,DLM_0356,aceF,C,-1.148806467,,4,
3h,DLM_0359,sucC,C,0.274431513,,4,
3h,DLM_0360,sucD,C,0.024543922,,4,
3h,DLM_0361,NA,,-0.166021022,,15,
3h,DLM_0362,COG5608,S,-0.148300169,,14,
3h,DLM_0363,lysR,K,0.246678235,,2,
3h,DLM_0364,COG1380,R,0.08338812,,13,
3h,DLM_0365,lrgB,M,0.423895096,,5,
3h,DLM_0366,NA,,0.035988254,,15,
3h,DLM_0367,COG1607,I,-0.644871815,,9,
3h,DLM_0368,rluA,J,0.262783731,,12,
3h,DLM_0369,COG3394,S,1.352284784,,14,
3h,DLM_0370,COG2246,S,1.680574761,,14,
3h,DLM_0371,wcaA,M,0.860576222,,5,
3h,DLM_0372,arnT,M,0.983372044,,5,
3h,DLM_0373,pTR2,E,0.71960546,,1,
3h,DLM_0374,NA,,-0.147302092,,15,
3h,DLM_0375,tnaA,E,-0.409563981,,1,
3h,DLM_0376,COG3126,S,0.099121046,,14,
3h,DLM_0377,COG3198,S,0.397859514,,14,
3h,DLM_0378,napH,C,0.612353051,,4,
3h,DLM_0379,cccA,C,0.088573122,,4,
3h,DLM_0380,ccoQ,O,1.047032535,,10,
3h,DLM_0381,ccoO,C,0.249410725,,4,
3h,DLM_0382,ccoN,O,0.164944981,,10,
3h,DLM_0383,COG3975,R,0.236038871,,13,
3h,DLM_0384,pepN,E,-1.319452021,Depleted,1,3D7E
3h,DLM_0385,COG4757,R,-0.065678923,,13,
3h,DLM_0386,eGL-9,O,-0.485243198,,10,
3h,DLM_0387,aroC,E,-1.107943091,Depleted,1,3D7E
3h,DLM_0388,COG3434,T,0.644832731,,3,
3h,DLM_0389,acpP,IQ,0.281769457,,9,
3h,DLM_0390,fabB,IQ,-0.175541077,,9,
3h,DLM_0391,alkB,L,0.195440007,,11,
3h,DLM_0392,ada,L,0.121072874,,11,
3h,DLM_0393,ompC,M,-0.089715027,,5,
3h,DLM_0394,NA,,-1.470734562,,15,
3h,DLM_0395,cbiM,P,0.14919709,,7,
3h,DLM_0396,cbiN,P,0.557157876,,7,
3h,DLM_0397,cbiQ,P,-0.034507826,,7,
3h,DLM_0398,cbiO,P,0.727638774,,7,
3h,DLM_0399,cirA,P,0.165027761,,7,
3h,DLM_0400,tonB,M,1.481737068,,5,
3h,DLM_0401,tolQ,U,0.281256111,,12,
3h,DLM_0403,NA,,-0.129697644,,15,
3h,DLM_0404,NA,,0.214080147,,15,
3h,DLM_0405,NA,,-0.171982789,,15,
3h,DLM_0406,NA,,0.178588955,,15,
3h,DLM_0407,NA,,0.132804173,,15,
3h,DLM_0408,NA,,0.761945178,,15,
3h,DLM_0409,COG1203,R,-0.023705843,,13,
3h,DLM_0410,COG1518,L,-0.119494768,,11,
3h,DLM_0411,NA,,0.587154369,,15,
3h,DLM_0412,NA,,0.205192277,,15,
3h,DLM_0413,NA,,-0.409428339,,15,
3h,DLM_0414,NA,,0.820914329,,15,
3h,DLM_0415,NA,,0.129494695,,15,
3h,DLM_0417,COG0436,E,0.088040566,,1,
3h,DLM_0418,COG0637,R,0.388672998,,13,
3h,DLM_0419,soj,D,0.699137342,,12,
3h,DLM_0420,guaB,F,0.250120759,,12,
3h,DLM_0421,COG2732,K,0.689245252,,2,
3h,DLM_0422,NA,,0.344494217,,15,
3h,DLM_0423,murI,M,-0.757254278,,5,
3h,DLM_0424,mrp,D,-1.587988341,,12,
3h,DLM_0425,araJ,G,-0.356855014,,6,
3h,DLM_0426,metG,R,-1.018336535,,13,
3h,DLM_0427,NA,,0.384583219,,15,
3h,DLM_0428,NA,,0.37963888,,15,
3h,DLM_0430,ldhA,CHR,-0.291579005,,4,
3h,DLM_0431,COG3022,S,-0.284778683,,14,
3h,DLM_0432,COG0384,R,0.166173463,,13,
3h,DLM_0433,dtd,J,0.090456185,,12,
3h,DLM_0434,COG4623,M,0.652624584,,5,
3h,DLM_0435,gloB,R,0.130688306,,13,
3h,DLM_0436,ubiE,H,-1.537380692,,12,
3h,DLM_0441,rpiA,G,1.202956857,,6,
3h,DLM_0443,gppA,FP,0.695460937,,12,
3h,DLM_0444,corA,P,0.156226788,,7,
3h,DLM_0445,copZ,P,-0.454962141,,7,
3h,DLM_0447,hisJ,ET,0.117890589,,1,
3h,DLM_0448,elaC,R,-0.007975207,,13,
3h,DLM_0449,hisM,E,0.875399565,,1,
3h,DLM_0450,hisM,E,0.084828959,,1,
3h,DLM_0451,hisJ,ET,-0.16315756,,1,
3h,DLM_0452,COG3639,P,-0.189877695,,7,
3h,DLM_0453,COG3638,P,0.454133775,,7,
3h,DLM_0454,phnD,P,-0.048392708,,7,
3h,DLM_0456,ilvD,EG,-1.574589547,Depleted,1,
3h,DLM_0457,gst,O,0.178802996,,10,
3h,DLM_0458,NA,,-1.592040858,,15,
3h,DLM_0459,NA,,-0.601745441,,15,
3h,DLM_0460,glyA,E,-1.618622568,,1,
3h,DLM_0461,COG1327,K,-1.601318672,,2,
3h,DLM_0463,NA,,-0.112352699,,15,
3h,DLM_0464,COG2317,E,0.054726927,,1,
3h,DLM_0465,COG1639,T,0.265960839,,3,
3h,DLM_0466,mhpC,R,-0.019779952,,13,
3h,DLM_0467,araC,K,0.797277198,,2,
3h,DLM_0468,COG3449,L,0.760088296,,11,
3h,DLM_0469,COG0517,R,-1.780802502,,13,
3h,DLM_0470,NA,,-1.161406504,,15,
3h,DLM_0471,uvrC,L,0.248571384,,11,
3h,DLM_0472,pgsA,I,0.969838029,,9,
3h,DLM_0478,fimA,NU,-0.187734282,,8,
3h,DLM_0479,fimD,NU,-0.255621845,,8,
3h,DLM_0481,fimA,NU,0.141681509,,8,
3h,DLM_0482,fimA,NU,-0.084498363,,8,
3h,DLM_0483,NA,,-0.13404731,,15,
3h,DLM_0484,tyrB,E,-0.00125438,,1,
3h,DLM_0486,proQ,T,0.166328587,,3,
3h,DLM_0487,COG1929,G,-0.233630018,,6,
3h,DLM_0488,kch,P,-0.02389653,,7,
3h,DLM_0489,cysK,E,-0.033741861,,1,
3h,DLM_0490,NA,,-0.329099526,,15,
3h,DLM_0491,COG3012,S,0.303337697,,14,
3h,DLM_0492,NA,,0.342171078,,15,
3h,DLM_0493,dcd,F,-0.590178114,,12,
3h,DLM_0495,feoB,P,0.24207679,,7,
3h,DLM_0496,pyrD,F,0.577730812,,12,
3h,DLM_0497,COG3384,S,0.105289055,,14,
3h,DLM_0498,NA,,0.144108501,,15,
3h,DLM_0499,katG,P,0.364187165,,7,
3h,DLM_0500,rdgC,L,0.182113707,,11,
3h,DLM_0504,COG0702,MG,0.138893393,,5,
3h,DLM_0505,NA,,-0.231106372,,15,
3h,DLM_0506,fabG,IQR,0.062031728,,9,
3h,DLM_0507,lysR,K,0.446790198,,2,
3h,DLM_0509,tolC,MU,-0.377075455,,5,
3h,DLM_0510,acrB,V,0.389330396,,12,
3h,DLM_0511,acrA,M,-0.064146375,,5,
3h,DLM_0512,lysR,K,0.286776087,,2,
3h,DLM_0513,acrR,K,-0.151207358,,2,
3h,DLM_0514,putA,C,0.137065323,,4,
3h,DLM_0515,lysR,K,0.430742538,,2,
3h,DLM_0516,COG1979,C,0.690358873,,4,
3h,DLM_0517,fabG,IQR,0.334515772,,9,
3h,DLM_0518,wcaG,MG,-0.131250021,,5,
3h,DLM_0519,proP,GEPR,0.205975542,,6,
3h,DLM_0521,paaJ,I,0.240374899,,9,
3h,DLM_0522,araJ,G,0.121841123,,6,
3h,DLM_0523,COG4221,R,0.217092511,,13,
3h,DLM_0524,dltE,M,0.003928773,,5,
3h,DLM_0525,mhpC,R,-0.321770536,,13,
3h,DLM_0526,COG1733,K,-0.554468173,,2,
3h,DLM_0527,NA,,-0.252554392,,15,
3h,DLM_0528,NA,V,0.146761228,,12,
3h,DLM_0529,acrA,M,0.110185965,,5,
3h,DLM_0530,acrR,K,0.259077506,,2,
3h,DLM_0531,tolC,MU,-0.35177959,,5,
3h,DLM_0532,NA,,-0.105450098,,15,
3h,DLM_0533,COG2930,S,-0.21190698,,14,
3h,DLM_0534,cfa,M,-0.054888604,,5,
3h,DLM_0536,COG3237,S,0.457127601,,14,
3h,DLM_0537,NA,,0.053294261,,15,
3h,DLM_0538,NA,,-1.177003359,,15,
3h,DLM_0539,NA,,0.205786774,,15,
3h,DLM_0540,NA,,-0.212080642,,15,
3h,DLM_0541,COG0599,S,0.274278698,,14,
3h,DLM_0542,lysR,K,0.642076021,,2,
3h,DLM_0543,slpA,O,-0.725307389,,10,
3h,DLM_0544,lrp,K,-0.066790893,,2,
3h,DLM_0545,NA,,-0.120927434,,15,
3h,DLM_0546,NA,V,0.121939918,,12,
3h,DLM_0547,acrA,M,-0.180864054,,5,
3h,DLM_0548,tolC,MU,0.070273981,,5,
3h,DLM_0549,COG3226,S,-0.191808323,,14,
3h,DLM_0550,aCH1,C,0.30685865,,4,
3h,DLM_0551,mviM,R,0.07791605,,13,
3h,DLM_0552,mviM,R,0.037984909,,13,
3h,DLM_0553,COG4130,G,-1.104944096,,6,
3h,DLM_0554,COG3962,E,-0.013733192,,1,
3h,DLM_0555,iolE,G,-0.185748813,,6,
3h,DLM_0556,rbsB,G,-0.204549464,,6,
3h,DLM_0557,mglA,G,0.249432597,,6,
3h,DLM_0558,araH,G,-0.344500057,,6,
3h,DLM_0559,rpiR,K,-0.425184503,,2,
3h,DLM_0560,rbsK,G,-0.343719448,,6,
3h,DLM_0561,iolE,G,-0.078430554,,6,
3h,DLM_0562,iolB,G,-0.046281636,,6,
3h,DLM_0563,putA,C,-0.412504842,,4,
3h,DLM_0564,dedD,S,-0.745351469,,14,
3h,DLM_0565,ndk,F,-2.364675765,,12,
3h,DLM_0566,COG0820,R,0.09326832,,13,
3h,DLM_0567,pilF,NU,-1.656834723,Depleted,8,
3h,DLM_0571,COG2976,S,-0.988341795,,14,
3h,DLM_0572,COG1520,S,-1.977694551,,14,
3h,DLM_0575,hflX,R,0.063129368,,13,
3h,DLM_0576,hflC,O,0.221556337,,10,
3h,DLM_0577,hflC,O,-0.00940341,,10,
3h,DLM_0579,purA,F,0.19865672,,12,
3h,DLM_0580,mviM,R,0.017924964,,13,
3h,DLM_0581,COG4702,S,0.640519756,,14,
3h,DLM_0582,mauG,P,0.258690512,,7,
3h,DLM_0583,plcC,M,0.048835303,,5,
3h,DLM_0584,araJ,G,0.023723598,,6,
3h,DLM_0588,vacB,K,-0.28956947,,2,
3h,DLM_0594,baeS,T,0.088604635,,3,
3h,DLM_0595,NA,,1.071358258,,15,
3h,DLM_0596,atoC,T,0.521942701,,3,
3h,DLM_0598,dsrE,P,-0.037592176,,7,
3h,DLM_0599,putA,E,0.25144444,,1,
3h,DLM_0600,livK,E,-0.087151949,,1,
3h,DLM_0601,NA,,0.123618129,,15,
3h,DLM_0602,COG3313,R,-0.555514982,,13,
3h,DLM_0603,COG3608,R,0.285765663,,13,
3h,DLM_0604,arcB,T,-0.556555567,,3,
3h,DLM_0605,COG1853,R,0.137162757,,13,
3h,DLM_0606,caiA,I,0.19715538,,9,
3h,DLM_0607,ompC,M,-0.168023468,,5,
3h,DLM_0608,uhpC,G,-0.102680223,,6,
3h,DLM_0609,NA,,-0.391128164,,15,
3h,DLM_0610,hpcH,G,-0.355717461,,6,
3h,DLM_0611,COG3971,Q,0.101415288,,12,
3h,DLM_0612,putA,C,0.178833303,,4,
3h,DLM_0613,araJ,G,0.064806363,,6,
3h,DLM_0614,hpaF,E,1.173121628,,1,
3h,DLM_0615,COG3384,S,0.00493528,,14,
3h,DLM_0616,putA,C,-0.267619815,,4,
3h,DLM_0617,mhpD,Q,0.127803801,,12,
3h,DLM_0618,mhpD,Q,0.303010882,,12,
3h,DLM_0619,COG1917,S,0.126236298,,14,
3h,DLM_0620,araC,K,0.862517511,,2,
3h,DLM_0622,putA,C,-0.06559632,,4,
3h,DLM_0623,bioA,H,0.251746351,,12,
3h,DLM_0624,citB,TK,-0.162894147,,3,
3h,DLM_0625,potE,E,0.229060821,,1,
3h,DLM_0626,NA,,0.148948993,,15,
3h,DLM_0627,marR,K,-1.218557575,,2,
3h,DLM_0628,fabG,IQR,-0.008302537,,9,
3h,DLM_0629,fabG,IQR,-0.034989733,,9,
3h,DLM_0630,NA,,-2.136095415,,15,
3h,DLM_0632,NA,,0.129247171,,15,
3h,DLM_0633,oppA,E,0.194169626,,1,
3h,DLM_0634,COG4174,R,-0.163495853,,13,
3h,DLM_0635,COG4239,R,0.67999821,,13,
3h,DLM_0636,COG4172,R,-0.31535279,,13,
3h,DLM_0639,COG2860,S,-0.291634173,,14,
3h,DLM_0640,mutT,LR,0.293575147,,11,
3h,DLM_0641,COG2199,T,0.104654209,,3,
3h,DLM_0642,nadC,H,0.423488187,,12,
3h,DLM_0643,COG3235,S,-0.389641493,,14,
3h,DLM_0644,COG3686,S,-0.053145289,,14,
3h,DLM_0645,COG1011,R,0.660868834,,13,
3h,DLM_0646,murB,M,-1.664644607,,5,
3h,DLM_0648,NA,,0.205954169,,15,
3h,DLM_0652,COG1428,F,-0.299395252,,12,
3h,DLM_0655,panD,H,-0.143372581,,12,
3h,DLM_0656,COG3791,S,0.290646454,,14,
